name,code,saqa_id,dep,aps,faculty,nqf,credits,desc,comments,school,url
Diploma in Marketing Management (98202),98202,83287,,17,Economic and Management Sciences,6,360,"Purpose statement:The purpose of the qualification is closely tied to the rationale for the programme and it serves to instil and broaden students' marketing knowledge, application of marketing knowledge and expertise. The qualification provides qualifying students with a broad based knowledge of the principles, major theories and thought schools, methods and technology of the science and profession of the field and equips them to co-ordinate and contribute to the management of the core marketing management functions in line with best practice and quality standards. This qualification lays a foundation for higher career advancement and further studies in the field of marketing management. 

The modules are specifically selected to ensure that students gain a basic understanding of the underlying marketing issues and principles in their first year; slightly more advanced knowledge combined with elementary practical application in the second year; and conclude with practical application of marketing theory in the third year where an applications approach is integrated in the curriculum. The third year modules are designed to equip students with the relevant skills and abilities. 
","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Diploma-in-Marketing-Management-(98202)
Diploma in Operations Management (90183),90183,119068,,17,Economic and Management Sciences,6,360,"Purpose statement:The purpose of the Diploma in Operations Management is to allow qualifying learners to enter a formal entry-level qualification within the field of operations management. In this qualification, learners will explore strategies on how to manage aspects related to operations and supply chain in the manufacturing and services industries. Learners would be able to develop skills and competencies on how to ensure an organisation becomes more productive, efficient, and effective across the value chain as an Operations Manager.
The field of operations management is changing continually as economies change, and the qualifying graduate in this qualification will be able to advise middle to senior managers on issues relating to Capacity Planning, Forecasting, Quality, Process Analysis and Project Management. This is important to ensure the qualifying learners will be able to apply the theoretical constructs of operations management in real-life work situations through simulations and case studies. The labour-intensive nature of some industries and the various skills levels in Operations Management will provide employment opportunities for many South Africans with varying degrees of skills development. Learners will also be equipped with the necessary entrepreneurial skills to establish their own businesses.
","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Diploma-in-Operations-Management-(90183)
Diploma in Public Administration and Management (98203),98203,83467,,17,Economic and Management Sciences,6,360,"Purpose statement:The primary purpose of the qualification is for learners to demonstrate vocational knowledge, skills, applied competence and the necessary attitudes in the field of public administration and management to become lifelong learners, employable workers and contributors to public administration in various institutions. A second purpose of the qualification is for learners in public administration to widen the vocational leadership and managerial base of innovative and practice-based public administration and management. 

Qualifying learners could follow a variety of careers within the Public Sector: 
- Financial Services. 
- Administration. 
- Management. 
- Human Resources Management. 
- Knowledge Management. 

","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Diploma-in-Public-Administration-and-Management-(98203)
Diploma in Safety Management (90107),90107,105733,,17,Economic and Management Sciences,6,360,"Purpose statement:The purpose of this qualification is to prepare learners for management positions within the field of safety management. On completion, learners will be able to demonstrate vocational knowledge, skills and applied competence and the necessary attitudes in the field of safety management to become lifelong learners, employable workers and contributors to safety management in various institutions. The qualification is intended for persons who can function on an operational and tactical (functional) level.","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Diploma-in-Safety-Management-(90107)
Diploma in Small Business Management (90073),90073,96443,,17,Economic and Management Sciences,6,360,"Purpose statement:This qualification will enable the qualifying learner to apply the necessary entrepreneurial and business skills and processes in order to start, establish and grow a business. The qualification is specifically designed for new and established small business owners and managers who wish to enhance their management knowledge with the latest thinking in small business management. The qualification equips entrepreneurs with essential business skills and to exploit the unique set of skills, knowledge and ideas to sell products and services.","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Diploma-in-Small-Business-Management-(90073)
Diploma in Tourism Management (98223),98223,86247,,17,Economic and Management Sciences,6,360,"Purpose statement:The purpose of the Diploma: Tourism Management is to equip learners with generic business management expertise and appropriate practical skills within the context of the tourism industry. 

Qualifying learners will have a broad insight into tourism and a fundamental understanding of tourism management principles and theories. Those who achieve this qualification will be competent in consistently using a variety of technical, managerial and personal skills and strategies in the everyday running of a tourism enterprise. The successful learners will have developed a sound base for progression into management and industry leadership positions, and exploiting entrepreneurial opportunities. 

Lastly, the qualification is designed to allow qualifying learners to enter the tourism industry in a variety of both private and public sector tourism organisations, including, among others, hospitality, transport and support services. Furthermore, those who achieve this qualification will be able to manage tourism businesses, apply specialised industry knowledge and demonstrate initiative and responsibility in a professional or academic tourism management context. 
","
Rules:
The College has replaced ENN103F with ENG1503, replaced FAC1601 with FAC1602, replaced DTM1502 with
SUS1501, replaced DTM2602 with TRT2601, replaced DTM3702 with TRT3702, replaced MNM2601 with
MNM1601, replaced MNM3701 with MNM3709 and replaced DTM3606 + DTM3607 with DTM3609. The name of
module DTM3701 has changed from MICE Operations to Business Tourism. Students who have already
passed ENN103F, FAC1601, DTM1502, DTM2602, MNM2601, MNM3701, DTM3606 + DTM3607, DTM3701 and/or
DTM3702 in this qualification, will retain the credit(-s) and will not be required to complete the
relevant replacement module(-s). However, please note that DTM3606 and DTM3607 are replaced by one
module and students will need both these credits to be exempt from DTM3609. Students should note
that during the course of their studies they would be required to have access to a computer, printer
and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Diploma-in-Tourism-Management-(98223)
National Diploma: Safety Management (NDSMN),NDSMN,62413,,17,Economic and Management Sciences,6,0,"Purpose statement:A qualified learner will have the competence to independently implement and manage a successful safety programme in a medium to big enterprise. The qualified learner will be able to register, given the fact that he complies to other set requirements, with the Board of Registration for Occupational Health, Safety and Associated Professionals, as an Occupational Safety Practitioner.","
Rules:
During the period that this qualification was offered, several curriculum amendments have been
effected. HRD1501 replaced SPPPRAC, HRM1501 replaced PEF131V, MNO1501 and MNO1502 replaced
SPP101S, MNO2603 and MNO2605 replaced SPP201S, FAC1501 and MNO3704 replaced FMA401V, and
ENG1503 replaced ENN103F. Students who have already passed the modules that were replaced, will
retain the credits and will not be required to complete the replacement module(-s). Students should
note that during the course of their studies they would be required to have access to a computer,
printer and the internet.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/National-Diploma:-Safety-Management-(NDSMN)
Advanced Diploma in Explosives Management (90124),90124,112563,,50,Economic and Management Sciences,7,120,"Purpose statement:The Advanced Diploma in Explosives Management is designed to integrate the technical know-how of explosives with managerial skills on a tactical level. The qualification ensures that learners will comply with and manage all regulatory competence requirements set by Occupational Health and Safety and Explosives legislation. Thus the learners will apply for certification as explosives managers or responsible persons. The qualifying learners will have the competence to apply explosives technologies, sound safety, health and environmental principles as well as management skills. These skills are appropriate for the cost-effective management of products and processes in an explosives related environment. 
","
Rules:
It is recommended that students choose their explosives management modules as follows:
Semester 1: EXC3701, EXC3702 Semester 2: EXP3704, EXP3705, TMA3702, TMA3703
 
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Advanced-Diploma-in-Explosives-Management-(90124)
Advanced Diploma in Safety Management (90181),90181,118634,,50,Economic and Management Sciences,7,120,"Purpose statement:The primary purpose of this qualification is to provide a formal qualification for individuals who are interested in pursuing a specialized career in safety management and related aspects by connecting knowledge and skills related to advanced risk and incident management. The curriculum integrates knowledge and practical application by utilizing simulated work environment examples. This ensures that students are able to apply the concepts of toxicology, manufacturing and process safety and advanced safety auditing at a practical level in preparation for possible postgraduate study in the field of safety management. Students will be knowledgeable in the main theories relating to construction and mining safety, emergency planning and safety systems to ensure that they can apply this knowledge in an ethical manner that takes human behaviour into account. This advanced diploma also integrates the principles of entrepreneurship and intrapreneurship as an approach to safety project management. The curriculum is designed to provide entry-level vocational preparation for Bachelor's Degree graduates or diplomates by offering an intensive, focused and applied specialization that meets the requirements of professional bodies and industry in the safety management field.","
Rules:
Students should note that during the course of their studies they would be required to have access
 to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Advanced-Diploma-in-Safety-Management-(90181)
Advanced Diploma in Tourism Management (90118),90118,110422,,50,Economic and Management Sciences,7,120,"Purpose statement:The primary purpose of this qualification is to enable working tourism professionals to articulate across the higher education system and to assist learners with continued professional development in the field of Tourism. This qualification may enable a learner change in career path as it caters for a variety of module options to choose from according to their specific needs and circumstances. The selection of modules allows a learner to meet the requirements of the tourism labour market, e.g. in tourism development and management. This qualification aims to develop an understanding of the current theories and methodologies in the field of tourism management. 

This qualification serves to consolidate and deepen the learner's expertise in tourism. The qualification enables learners already employed to develop themselves more fully without too many interruptions in their lifestyles. Furthermore, it affords learners in rural areas the opportunity to continue their professional development. 

The qualification is suitable for learners who want to gain specialised knowledge in tourism and a better understanding of the tourism industry. This initiative will not only help in improving the local tourism industry, but also the country's economy. The learners will be equipped with advanced knowledge and various skills and competencies in tourism management that will improve their capacity to engage independently with complex theoretical concepts and problems related to the different sectors","
Rules:
The College has replaced MNM3715 with MNM3701. Students who have already passed MNM3715 in this
curriculum will retain credit and will not be required to complete MNM3701. Students should note
that during the course of their studies they would be required to have access to a computer, printer
and the internet.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Advanced-Diploma-in-Tourism-Management-(90118)
Baccalaureus Technologiae: Safety Management (BTSMN),BTSMN,109478,,50,Economic and Management Sciences,7,0,"Purpose statement:A qualified learner will have the knowledge, skills and attitude to apply advanced problem solving to safety related problems, advise on safety in a big enterprise and manage the occupational health, safety and environmental programme in such an enterprise. The qualified learner will be able to register, given the fact that he/she complies to other set requirements, with the Board of Registration for Safety Health and Associated Professionals, as an Occupational Safety Professional.","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Baccalaureus-Technologiae:-Safety-Management-(BTSMN)
Bachelor of Administration (98315 - BAD),98315,5553,,21,Economic and Management Sciences,7,360,"Purpose statement:The primary purpose of the qualification is to provide BAdmin graduates with the knowledge, specific skills, applied competence and the necessary attitudes in the fields of development and public administration to make them lifelong learners, employable workers/entrepreneurs and contributors to development and public administration in various public and civic contexts. 

A second purpose of the qualification is to provide South Africa (and other countries) with graduates in development and public administration to widen the leadership base of innovative and knowledge-based economic and scholarly activity. 

A further purpose of the qualification is to provide South Africa (and other countries) with people who can understand the constructive role they need to play as change agents in the field of development and public administration.","
Rules:
Electives may be chosen from the following disciplines: Level 1: Accounting, Business Management,
Marketing Management, Human Resource Management, Economics, Industrial and Organisational
Psychology, Quantitative Management, Transport Economics, Commercial Law, Information Systems,
Labour Law, Statistics, Administrative Law, Fundamental Rights, African Politics, Interpretation of
Statutes, Anthropology, Introduction for the Theory of Law, Constitutional Law and  Politics. Please
take note of any pre/co-requisites. Level 2:  Accounting, Business Management, Marketing Management,
Human Resource Management, Economics, Industrial and Organisational  Psychology, Quantitative
Management, Transport Economics, Commercial Law, Information Systems, Labour Law, Statistics Level
3: Accounting, Business Management, Marketing Management, Human  Resource Management, Economics,
Industrial and Organisational  Psychology, Quantitative Management, Transport Economics, Business
Ethics (PLS3701). Please take note of the pre/co-requisites. The College has replaced MNI3701 with
MNB3701, replaced PUB303G with PUB3703 or PUB3705, replaced PUB302F with PUB3702 or PUB3704,
replaced DVA1601 with DVA1502, replaced MNM2601 with MNM1601, replaced MNM2603 with MNM1501,
replaced MNM2608 with MNM2614, replaced MNM2609 with MNM2604, replaced MNM2602 with MNM2615 and
replaced RSK3701 with ISR3701. Module ILW1501 has been included as a compulsory module in the 1st
year and the number of electives has been reduced to three. ECS2607 has been removed from the
curriculum. Students who have already passed the modules that have been replaced (in this
qualification) will retain the credits and will not be required to complete the replacement modules.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Bachelor-of-Administration-(98315-–-BAD)
Bachelor of Administration in Human Settlements Management (90016 - HSM),90016,94622,,21,Economic and Management Sciences,7,360,"Purpose statement:The purpose of the qualification is to educate human settlements practitioners of governments at national, provincial and municipal spheres and in public entities. Qualifying students will be able to work effectively in any human settlements environment but also specifically in any position in human settlements in the public sector. Qualifying students will be able to demonstrate knowledge, specific skills and applied competence within opportunities for continued personal intellectual growth, gainful economic activity and ethical conduct and leadership in the fields associated with public administration and human settlements management. 

This qualifying student will be able to perform public administrative functions and be able to apply the following: Perform public administration functions as a basis for managerial decisions for human settlements management. 
- Apply fundamental aspects, principles, and procedures of financial accounting. 
-  Manage policy implementation of human settlement projects adhering to compliance applicable to housing laws and regulations. 
- Perform Human recourse duties/responsibilities within the administration on human settlements. 
- Demonstrate an understanding of fundamental principles of ethics in a comparative multidisciplinary perspective. 
- Investigate the role that government plays in environmental affairs at national, provincial and local level. 

This qualification lays the foundation for career advancement and further studies in the fields of Public Administration and Human Settlements Management. Candidates that obtain this degree will also be able to contribute to the theory of human settlements management when they articulate to Higher Degrees or a Postgraduate Diploma in Public Administration. 

","
Rules:
The College has replaced EUP1501 with BNU1501, FAC1501 with QMI1500, and replaced MCL1501 with
PUB1511, and MCL2601 with PUB2614. Students that have completed EUP1501, FAC1501, MCL1501 and
MCL2601 in this qualification, will retain the credits and will not be required to complete the
replacement modules. Students should note that during the course of their studies they would be
required to have access to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Bachelor-of-Administration-in-Human-Settlements-Management-(90016-–-HSM)
Bachelor of Business Administration (98316 - BBA),98316,5561,,21,Economic and Management Sciences,7,360,"Purpose statement:The primary purpose of the qualification is to provide BBA graduates with the knowledge, specific skills and applied competence that provide opportunities for continued personal intellectual growth, gainful economic activity and valuable contributions to society (9); 
(a) by way of a liberal business education which may include elements of other sciences like the natural sciences, humanities, law, education, religion, etc; 
(b) by adding fields traditionally associated with business, commerce and industry to an existing and already completed degree like a Bachelor of Arts, Bachelor of Sciences, Bachelor of Laws, Bachelor of Theology, etc. 

The second purpose of the qualification is to provide South Africa (and other countries) with business leaders in all sectors of the economy. 

A further purpose of the qualification is to provide graduates with a self-sustaining understanding of the process whereby productive resources are mobilized and utilized with a view to being gainfully employed in serving the material needs of societies in a globalised world.","
Rules:
Electives may be chosen either from the College of Economic and Management Sciences or from other
colleges. Please take note of the pre/co-requisites. Please note that some curriculum changes have
been effected from 2014. Students that registered for this qualification code before 2014 will not
lose any credits for modules completed in the pre-2014 academic period. However, where credits have
not been completed successfully, students will be required to complete the credits as per the
amended curriculum. The College has replaced MNI3701 with MNB3701, replaced DVA1601 with DVA1502,
replaced MNM2601 with MNM1601 and replaced ENN103F with ENG1503. Students who have already passed
(in this curriculum) the modules that have been replaced, will retain the credits and will not be
required to complete the replacement modules. Students should note that during the course of their
studies they would be required to have access to a computer, printer and the internet.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum.
",,https://www.unisa.ac.za/sites/corporate/default/Register-to-study-through-Unisa/Undergraduate-&-honours-qualifications/Find-your-qualification-&-choose-your-modules/All-qualifications/Bachelor-of-Business-Administration-(98316-–-BBA)
