name,code,saqa_id,dep,aps,faculty,nqf,credits,desc,comments,school,url
Bachelor of Arts African Languages and Information Science (99311 - AIN),African Languages and Information Science,360,,14352,,99311 - AIN,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-African-Languages-and-Information-Science-(99311-–-AIN)
Bachelor of Arts African Languages and Linguistics (99311 - ALL),African Languages and Linguistics,360,,14352,,99311 - ALL,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-African-Languages-and-Linguistics-(99311-–-ALL)
Bachelor of Arts African Languages and Public Administration (99311 - APA),African Languages and Public Administration,360,,14352,,99311 - APA,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-African-Languages-and-Public-Administration-(99311-–-APA)
Bachelor of Arts African Politics and Politics (99311 - APP),African Politics and Politics,360,,14352,,99311 - APP,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-African-Politics-and-Politics-(99311-–-APP)
Bachelor of Arts African Politics and Private Law (99311 - APL),African Politics and Private Law,360,,14352,,99311 - APL,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-African-Politics-and-Private-Law-(99311-–-APL)
Bachelor of Arts Afrikaans and Economics (99311 - AEC),Afrikaans and Economics,360,,14352,,99311 - AEC,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Afrikaans-and-Economics-(99311-–-AEC)
Bachelor of Arts Afrikaans and Geography (99311 - AGE),Afrikaans and Geography,360,,14352,,99311 - AGE,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Afrikaans-and-Geography-(99311-–-AGE)
Bachelor of Arts Afrikaans and History (99311 - AHI),Afrikaans and History,360,,14352,,99311 - AHI,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Afrikaans-and-History-(99311-–-AHI)
Bachelor of Arts Afrikaans and Private Law (99311 - AFL),Afrikaans and Private Law,360,,14352,,99311 - AFL,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Afrikaans-and-Private-Law-(99311-–-AFL)
Bachelor of Arts Anthropology and Communication Science (99311 - ANC),Anthropology and Communication Science,360,,14352,,99311 - ANC,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Anthropology-and-Communication-Science-(99311-–-ANC)
Bachelor of Arts Anthropology and Economics (99311 - ANE),Anthropology and Economics,360,,14352,,99311 - ANE,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Anthropology-and-Economics-(99311-–-ANE)
Bachelor of Arts Anthropology and Geography (99311 - ANG),Anthropology and Geography,360,,14352,,99311 - ANG,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Anthropology-and-Geography-(99311-–-ANG)
Bachelor of Arts Anthropology and History (99311 - ANH),Anthropology and History,360,,14352,,99311 - ANH,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Anthropology-and-History-(99311-–-ANH)
Bachelor of Arts Anthropology and Linguistics (99311 - ANL),Anthropology and Linguistics,360,,14352,,99311 - ANL,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Anthropology-and-Linguistics-(99311-–-ANL)
Bachelor of Arts Anthropology and Theology (99311 - ANT),Anthropology and Theology,360,,14352,,99311 - ANT,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Anthropology-and-Theology-(99311-–-ANT)
Bachelor of Arts Arabic and Mandarin Chinese (99311 - AMC),Arabic and Mandarin Chinese,360,,14352,,99311 - AMC,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Arabic-and-Mandarin-Chinese-(99311-–-AMC)
Bachelor of Arts Arabic and Theology (99311 - ATH),Arabic and Theology,360,,14352,,99311 - ATH,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Arabic-and-Theology-(99311-–-ATH)
Bachelor of Arts Archaeology and African Languages (99311 - AAL),Archaeology and African Languages,360,,14352,,99311 - AAL,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-African-Languages-(99311-–-AAL)
Bachelor of Arts Archaeology and African Politics (99311 - AAP),Archaeology and African Politics,360,,14352,,99311 - AAP,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-African-Politics-(99311-–-AAP)
Bachelor of Arts Archaeology and Anthropology (99311 - AAN),Archaeology and Anthropology,360,,14352,,99311 - AAN,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-Anthropology-(99311-–-AAN)
Bachelor of Arts Archaeology and Archives and Records Management (99311 - AAR),Archaeology and Archives and Records Management,360,,14352,,99311 - AAR,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-Archives-and-Records-Management-(99311-–-AAR)
Bachelor of Arts Archaeology and Art History (99311 - AAH),Archaeology and Art History,360,,14352,,99311 - AAH,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-Art-History-(99311-–-AAH)
Bachelor of Arts Archaeology and Classical Culture (99311 - ACC),Archaeology and Classical Culture,360,,14352,,99311 - ACC,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-Classical-Culture-(99311-–-ACC)
Bachelor of Arts Archaeology and Communication Science (99311 - ACS),Archaeology and Communication Science,360,,14352,,99311 - ACS,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-Communication-Science-(99311-–-ACS)
Bachelor of Arts Archaeology and Criminology (99311 - ACR),Archaeology and Criminology,360,,14352,,99311 - ACR,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-Criminology-(99311-–-ACR)
Bachelor of Arts Archaeology and Development Studies (99311 - ADS),Archaeology and Development Studies,360,,14352,,99311 - ADS,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-Development-Studies-(99311-–-ADS)
Bachelor of Arts Archaeology and Economics (99311 - ARE),Archaeology and Economics,360,,14352,,99311 - ARE,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-Economics-(99311-–-ARE)
Bachelor of Arts Archaeology and French (99311 - AFR),Archaeology and French,360,,14352,,99311 - AFR,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-French-(99311-–-AFR)
Bachelor of Arts Archaeology and Geography (99311 - ARG),Archaeology and Geography,360,,14352,,99311 - ARG,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-Geography-(99311-–-ARG)
Bachelor of Arts Archaeology and History (99311 - ARH),Archaeology and History,360,,14352,,99311 - ARH,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-History-(99311-–-ARH)
Bachelor of Arts Archaeology and Industrial and Organisational Psychology (99311 - AIO),Archaeology and Industrial and Organisational Psychology,360,,14352,,99311 - AIO,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-Industrial-and-Organisational-Psychology-(99311-–-AIO)
Bachelor of Arts Archaeology and Information Science (99311 - AIS),Archaeology and Information Science,360,,14352,,99311 - AIS,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-Information-Science-(99311-–-AIS)
Bachelor of Arts Archaeology and Linguistics (99311 - ALI),Archaeology and Linguistics,360,,14352,,99311 - ALI,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-Linguistics-(99311-–-ALI)
Bachelor of Arts Archaeology and Mandarin Chinese (99311 - ACH),Archaeology and Mandarin Chinese,360,,14352,,99311 - ACH,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-Mandarin-Chinese-(99311-–-ACH)
Bachelor of Arts Archaeology and Philosophy (99311 - APH),Archaeology and Philosophy,360,,14352,,99311 - APH,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-Philosophy-(99311-–-APH)
Bachelor of Arts Archaeology and Politics (99311 - ARP),Archaeology and Politics,360,,14352,,99311 - ARP,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-Politics-(99311-–-ARP)
Bachelor of Arts Archaeology and Scripture (99311 - ASC),Archaeology and Scripture,360,,14352,,99311 - ASC,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-Scripture-(99311-–-ASC)
Bachelor of Arts Archaeology and Sociology (99311 - ASO),Archaeology and Sociology,360,,14352,,99311 - ASO,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archaeology-and-Sociology-(99311-–-ASO)
Bachelor of Arts Archives and Records Management and Communication Science (99311 - AMS),Archives and Records Management and Communication Science,360,,14352,,99311 - AMS,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archives-and-Records-Management-and-Communication-Science-(99311-–-AMS)
Bachelor of Arts Archives and Records Management and Criminology (99311 - ARC),Archives and Records Management and Criminology,360,,14352,,99311 - ARC,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archives-and-Records-Management-and-Criminology-(99311-–-ARC)
Bachelor of Arts Archives and Records Management and Economics (99311 - AME),Archives and Records Management and Economics,360,,14352,,99311 - AME,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archives-and-Records-Management-and-Economics-(99311-–-AME)
Bachelor of Arts Archives and Records Management and History (99311 - AMH),Archives and Records Management and History,360,,14352,,99311 - AMH,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archives-and-Records-Management-and-History-(99311-–-AMH)
Bachelor of Arts Archives and Records Management and Industrial and Organisational Psychology (99311 - AIP),Archives and Records Management and Industrial and Organisational Psychology,360,,14352,,99311 - AIP,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archives-and-Records-Management-and-Industrial-and-Organisational-Psychology-(99311-–-AIP)
Bachelor of Arts Archives and Records Management and Information Science (99311 - AMI),Archives and Records Management and Information Science,360,,14352,,99311 - AMI,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archives-and-Records-Management-and-Information-Science-(99311-–-AMI)
Bachelor of Arts Archives and Records Management and Public Administration (99311 - AMP),Archives and Records Management and Public Administration,360,,14352,,99311 - AMP,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Archives-and-Records-Management-and-Public-Administration-(99311-–-AMP)
Bachelor of Arts Art History and Classical Culture (99311 - AHC),Art History and Classical Culture,360,,14352,,99311 - AHC,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Art-History-and-Classical-Culture-(99311-–-AHC)
Bachelor of Arts Art History and Economics (99311 - AHE),Art History and Economics,360,,14352,,99311 - AHE,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Art-History-and-Economics-(99311-–-AHE)
Bachelor of Arts Communication Science and Criminology (99311 - CSC),Communication Science and Criminology,360,,14352,,99311 - CSC,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Communication-Science-and-Criminology-(99311-–-CSC)
Bachelor of Arts Communication Science and Economics (99311 - CSE),Communication Science and Economics,360,,14352,,99311 - CSE,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Communication-Science-and-Economics-(99311-–-CSE)
Bachelor of Arts Communication Science and Geography (99311 - CSG),Communication Science and Geography,360,,14352,,99311 - CSG,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Communication-Science-and-Geography-(99311-–-CSG)
Bachelor of Arts Communication Science and Industrial and Organisational Psychology (99311 - CIO),Communication Science and Industrial and Organisational Psychology,360,,14352,,99311 - CIO,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Communication-Science-and-Industrial-and-Organisational-Psychology-(99311-–-CIO)
Bachelor of Arts Communication Science and International Politics (99311 - CIP),Communication Science and International Politics,360,,14352,,99311 - CIP,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Communication-Science-and-International-Politics-(99311-–-CIP)
Bachelor of Arts Communication Science and Mandarin Chinese (99311 - CMC),Communication Science and Mandarin Chinese,360,,14352,,99311 - CMC,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Communication-Science-and-Mandarin-Chinese-(99311-–-CMC)
Bachelor of Arts Communication Science and Ministry (99311 - CSM),Communication Science and Ministry,360,,14352,,99311 - CSM,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Communication-Science-and-Ministry-(99311-–-CSM)
Bachelor of Arts Communication Science and Music in History and Society (99311 - CMH),Communication Science and Music in History and Society,360,,14352,,99311 - CMH,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Communication-Science-and-Music-in-History-and-Society-(99311-–-CMH)
Bachelor of Arts Communication Science and Public Administration (99311 - CPA),Communication Science and Public Administration,360,,14352,,99311 - CPA,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Communication-Science-and-Public-Administration-(99311-–-CPA)
Bachelor of Arts Communication Science and Theology (99311 - CST),Communication Science and Theology,360,,14352,,99311 - CST,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Communication-Science-and-Theology-(99311-–-CST)
Bachelor of Arts Communication Science and Theory of Literature (99311 - CTL),Communication Science and Theory of Literature,360,,14352,,99311 - CTL,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Communication-Science-and-Theory-of-Literature-(99311-–-CTL)
Bachelor of Arts Development Studies and Archives and Records Management (99311 - DAR),Development Studies and Archives and Records Management,360,,14352,,99311 - DAR,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Development-Studies-and-Archives-and-Records-Management-(99311-–-DAR)
Bachelor of Arts Development Studies and Communication Science (99311 - DCS),Development Studies and Communication Science,360,,14352,,99311 - DCS,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Development-Studies-and-Communication-Science-(99311-–-DCS)
Bachelor of Arts Development Studies and English Studies (99311 - DES),Development Studies and English Studies,360,,14352,,99311 - DES,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Development-Studies-and-English-Studies-(99311-–-DES)
Bachelor of Arts Development Studies and Geography (99311 - DSG),Development Studies and Geography,360,,14352,,99311 - DSG,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Development-Studies-and-Geography-(99311-–-DSG)
Bachelor of Arts Development Studies and History (99311 - DSH),Development Studies and History,360,,14352,,99311 - DSH,7,"
Rules:
This qualification consists of 30 modules.
 
Students should note that during the course of their studies they would be required to have access
to a computer or laptop, printer and the internet.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Arts-Development-Studies-and-History-(99311-–-DSH)
